2017-08-25 20:22:43: On File Change Monitoring started on file:///D:/Projects/SymbianPython/python
2017-08-25 20:22:44: -- Analysis Started by On File Change First Full Analyze Upon File Monitoring Start
2017-08-25 20:22:45: 变更：38， 冲突：， 复制时间：， 复制状态：， 错误： , All: 175
2017-08-25 20:22:45: Left to Right: Copy File: 38 
2017-08-25 20:22:55: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_one.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_one.bmp'
2017-08-25 20:22:56: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_one.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_one.png'
2017-08-25 20:22:56: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_one_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_one_.bmp'
2017-08-25 20:22:56: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_shuffle.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_shuffle.bmp'
2017-08-25 20:22:57: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_shuffle.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_shuffle.png'
2017-08-25 20:22:57: 新建复制 'D:/Projects/SymbianPython/python/pic/play_icn_shuffle_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_icn_shuffle_.bmp'
2017-08-25 20:22:57: 新建复制 'D:/Projects/SymbianPython/python/pic/play_needle.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_needle.png'
2017-08-25 20:22:58: 新建复制 'D:/Projects/SymbianPython/python/pic/play_needle_.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/play_needle_.png'
2017-08-25 20:22:58: 新建复制 'D:/Projects/SymbianPython/python/pic/SplashScreen.scale-100.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/SplashScreen.scale-100.bmp'
2017-08-25 20:22:58: 新建复制 'D:/Projects/SymbianPython/python/pic/SplashScreen.scale-100.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic/SplashScreen.scale-100.png'
2017-08-25 20:22:59: 新建复制 'D:/Projects/SymbianPython/python/pic.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Private/fd8f9a7e/pic.bmp'
2017-08-25 20:22:59: ===== ：同步完毕。时间：00:00:14，速度： 39.3 KB/s =====, 项目同步未必： 38，错误： 
2017-08-25 20:22:59: 
