2017-08-30 02:39:57: -- Analysis Started by On File Change Incremental
2017-08-30 02:39:57: 变更：48， 冲突：， 复制时间：， 复制状态：， 错误： , All: 307
2017-08-30 02:39:57: Left to Right: Copy File: 48 
2017-08-30 02:40:05: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_loved.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_loved.bmp'
2017-08-30 02:40:05: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_loved.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_loved.png'
2017-08-30 02:40:06: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_loved_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_loved_.bmp'
2017-08-30 02:40:06: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_one.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_one.bmp'
2017-08-30 02:40:06: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_one.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_one.png'
2017-08-30 02:40:06: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_one_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_one_.bmp'
2017-08-30 02:40:07: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_shuffle.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_shuffle.bmp'
2017-08-30 02:40:07: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_shuffle.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_shuffle.png'
2017-08-30 02:40:07: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_icn_shuffle_.bmp' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_icn_shuffle_.bmp'
2017-08-30 02:40:08: 新建复制 'D:/Projects/SymbianPython/python_working/python_packing/pic/play_needle.png' -> 'mtp://S60_Handset/Memory card (ESD-ISO)/Python/python_packing/pic/play_needle.png'
